id	nev	nem	szuletett	elhunyt	identitas
1250	Kelety Gusztáv	f	1834	1902	
1251	Łepkowski, Józef	f	1826	1894	lengyel
1252	Nägeli, Karl Wilhelm von	f	1817	1891	svájci
1253	Vendl Aladár	f	1886	1971	
1254	Erdei Ferenc	f	1910	1971	
1255	Grüner György	f	1943		amerikai-magyar
1256	Buzás Edit	n	1959		
1257	Mansfeld Géza	f	1882	1950	
1258	Aczél János	f	1924		kanadai magyar
1259	Mátyás Antal	f	1923	2016	
1260	Wargha István	f	1808	1876	
1261	Hollósy Jusztinián	f	1819	1900	
1262	Pais Dezső	f	1886	1973	
1263	Ujfalussy József	f	1920	2010	
1264	Balázs Endre	f	1920	2015	amerikai-magyar
1265	Mitrovics Gyula	f	1871	1965	
1266	Szent-Iványi József	f	1910	1988	ausztráliai magyar
1267	Braunstejn, Alekszandr Jefszejevics	f	1902	1986	orosz
1268	Bókay János, ifj.	f	1858	1937	
1269	Zsoldos Attila	f	1962		
1270	Zala György	f	1858	1937	
1271	Kruesz Krizosztom	f	1819	1885	
1272	Tarján Imre	f	1912	2000	
1273	Éber László	f	1871	1935	
1274	Gyenge Csaba	f	1940		romániai magyar
1275	Frumkin, Alekszandr Naumovics	f	1895	1979	orosz
1276	Mérei Gyula	f	1911	2002	
1277	Macartney, Carlile Aylmer	f	1895	1978	skót
1278	Dakov, Mako Petrov	f	1920	2006	bolgár
1279	Braudel, Fernand Paul Achille	f	1902	1985	francia
1280	Szigeti József	f	1822	1902	
1281	Hissink, David Jacobus	f	1874	1956	holland
1282	Bodola Lajos	f	1859	1936	
1283	Topcsijev, Alekszandr Vasziljevics	f	1907	1962	orosz
1284	Böök, Martin Fredrik	f	1883	1961	svéd
1285	Bozóky László	f	1911	1995	
1286	Barna Ignác	f	1822	1894	
1287	Kornemann, Ernst	f	1868	1946	német
1288	Borovszky Samu	f	1860	1912	
1289	Schaffer Károly	f	1864	1939	
1290	Szemere Miklós	f	1802	1881	
1291	Küster, Ernst	f	1874	1953	német
1292	Rokitansky, Carl von	f	1804	1848	cseh-osztrák
1293	Ercsei Dániel	f	1781	1836	
1294	Bartha Dénes	f	1908	1993	
1295	Lutter Nándor	f	1820	1891	
1296	Simionescu, Cristofor I.	f	1920	2007	román
1297	Tangl Ferenc	f	1866	1917	
1298	Nagy Imre	f	1822	1894	
1299	Owen, Richard	f	1804	1892	angol
1300	Macaulay, Thomas Babington	f	1800	1859	angol
1301	Horváth János	f	1769	1835	
1302	Hollán Ernő	f	1824	1900	
1303	Gál Sándor	f	1933		
1304	Engel Pál	f	1938	2001	
1305	Zichy Ágost	f	1852	1925	
1306	Birinyi K. Lajos / Kossuth Birinyi, Louis	f	1886	1941	amerikai-magyar
1307	Urházy György	f	1823	1873	
1308	Papp Ferenc	f	1871	1943	
1309	Sziforov, Vlagyimir Ivanovics	f	1904	1993	orosz
1310	Győrffy Béla	f	1928	2002	
1311	Nagy András	f	1951		kanadai magyar
1312	Taubner Károly	f	1809	1860	
1313	Klement Zoltán	f	1926	2005	
1314	Zsigmond Ferenc	f	1883	1949	
1315	Márton Péter	f	1934		
1316	Tulassay Tivadar	f	1949		
1317	Major Máté	f	1904	1986	
1318	Marek József	f	1868	1952	
1319	Scherffel Aladár	f	1865	1939	
1320	Walter-Klingenstein, Grete	f	1939		osztrák
1321	Fillinger Lipót	f	1787	1844	
1322	Falusné Szikra Katalin	n	1924	2006	
1323	Bodenstein, Max	f	1871	1942	német
1324	Vermes István	f	1946	2015	hollandiai magyar
1325	Hutÿra Ferenc	f	1860	1934	
1326	Juhász Gyula	f	1930	1993	
1327	Bérces Tibor	f	1932	2007	
1328	Balanyi György	f	1886	1963	
1329	Pellegrini, Giovanni Battista	f	1921	2007	olasz
1330	Rainer M. János	f	1957		
1331	Beszédes József	f	1787	1852	
1332	Győry Kálmán	f	1940		
1333	Csiky Gergely	f	1842	1891	
1334	Jánossy Dénes	f	1891	1966	
1335	Gorini, Constantino	f	1865	1950	olasz
1336	Dembowski, Jan Bohdan	f	1889	1963	lengyel
1337	Kozma Ferenc	f	1844	1920	
1338	Szőkefalvi-Nagy Béla	f	1913	1998	
1339	Vécsey Tamás	f	1839	1912	
1340	Vass László	f	1780	1842	
1341	Gyáni Gábor	f	1950		
1342	Kézdi Árpád	f	1919	1983	
1343	Maier, Giulio	f	1931		olasz
1344	Beudant, François Sulpice	f	1787	1850	francia
1345	Joó Ferenc	f	1949		
1346	Hargittai Magdolna	n	1945		
1347	Hornyánszky Gyula	f	1869	1933	
1348	Paepe, Roland	f	1934		belga
1349	Ancsel Éva	n	1927	1993	
1350	Schandl József	f	1885	1973	
1351	Korbonits Márta	n	1962		nagy-britanniai magyar
1352	Rézler Gyula	f	1911	2001	amerikai-magyar
1353	Hopwood, David Alan	f	1933		angol
1354	Vincze Mária	n	1942		romániai magyar
1355	Maros Dezső	f	1920	2011	romániai magyar
1356	Grasselly Gyula	f	1920	1991	
1357	Fink, Julius	f	1918	1981	osztrák
1358	Demény Pál György	f	1932		amerikai-magyar
1359	Dressler, Wolfgang U.	f	1939		osztrák
1360	Pulszky Ágost	f	1846	1901	
1361	Verebélÿ Tibor	f	1875	1941	
1362	Tőke László	f	1933		
1363	Ferenczy István	f	1792	1856	
1364	Kollár János	f	1956		amerikai-magyar
1365	Markusovszky Lajos	f	1815	1893	
1366	Erdős Péter	f	1910	1990	
1367	Potrykus, Ingo	f	1933		svájci
1368	Karády Viktor / Karady, Victor	f	1936		franciaországi magyar
1369	Novák Béla	f	1956		nagy-britanniai magyar
1370	Ürményi Ferenc	f	1780	1858	
1371	Mihályi Károly	f	1808	1880	
1372	Alexits György	f	1899	1978	
1373	Karádi István	f	1951		
1374	Stang Péter	f	1941		amerikai-magyar
1375	Szelényi Iván	f	1938		
1376	Szörényi Imre	f	1905	1959	
1377	Nagy Márton	f	1804	1873	
1378	Erdey-Grúz Tibor	f	1902	1976	
1379	Földes Péter	f	1930	1982	
1380	Vecsei József	f	1800	1855	
1381	Monostori László	f	1953		
1382	Csánki Dezső	f	1857	1933	
1383	Kubinyi Ferenc	f	1796	1874	
1384	Máthé Imre	f	1911	1993	
1385	Angyal Dávid	f	1857	1943	
1386	Roósz András	f	1945		
1387	Cziráky János	f	1818	1884	
1388	Ladányi Gedeon	f	1824	1886	
1389	Mark, Herman Francis	f	1895	1992	amerikai-osztrák
1390	Giuliano, Balbino	f	1879	1958	olasz
1391	Nagy F. András	f	1932		amerikai-magyar
1392	Dusza János	f	1952		szlovákiai magyar
1393	Páles Zsolt	f	1956		
1394	Szemjonov, Nyikolaj Nyikolajevics	f	1896	1986	orosz
1395	Korhonen, Veli-Mikko	f	1936	1991	finn
1396	Frigyesi József	f	1875	1967	
1397	Bihari Ottó	f	1921	1983	
1398	Bogárdi János	f	1909	1998	
1399	Berridge, Michael	f	1938		brit
1400	Prinz Gyula	f	1882	1973	
1401	Kurutzné Kovács Márta	n	1940		
1402	Kőrösi Csoma Sándor	f	1784	1842	
1403	Sayous, Édouard	f	1842	1898	francia
1404	Lukinich Imre	f	1880	1950	
1405	Hazslinszky Frigyes Ákos	f	1818	1896	
1406	Ligeti Erzsébet	n	1950		
1407	Andrássy Tivadar	f	1857	1905	
1408	Weichelt, Wolfgang	f	1929	1993	német
1409	Podhradczky József	f	1795	1870	
1410	Haberern Jonatán	f	1818	1880	
1411	Kovács L. Gábor	f	1948		
1412	Jancsó Miklós	f	1903	1966	
1413	Schmid, Stefan M.	f	1943		svájci
1414	Kemény Lajos	f	1959		
1415	Vécsei László	f	1954		
1416	Ariste, Paul	f	1905	1990	észt
1417	Jancsó Benedek	f	1854	1930	
1418	Ribár Béla	f	1930	2006	szerbiai magyar
1419	Clausius, Rudolf Julius Emanuel	f	1822	1888	német
1420	Mandl József	f	1947		
1421	Orbán Miklós	f	1939		
1422	Vállas Antal / Vallas, Anton	f	1809	1869	amerikai-magyar
1423	Páczelt István	f	1939		
1424	Barral i Altet, Xavier	f	1947		spanyol-katalán
1425	Szent-Györgyi András / Szent-Györgyi, Andrew	f	1924	2015	amerikai-magyar
1426	Vasil, Indra K.	f	1932		amerikai-indiai
1427	Mihály György	f	1951		
1428	Prónay Gábor	f	1812	1875	
1429	Ereky István	f	1876	1943	
1430	Lepold Antal	f	1880	1971	
1431	Imre Samu	f	1917	1990	
1432	Forgács József	f	1947		ausztráliai magyar
1433	Deér József	f	1905	1972	
1434	Noyes, Richard Macy	f	1919	1997	amerikai
1435	Herz Miksa / Herz, Max	f	1856	1919	magyar származású
1436	Stefán Mihály	f	1932	2009	
1437	Palacký, František	f	1798	1876	cseh
1438	Teleki Pál	f	1879	1941	
1439	Toivonen, Yrjö Heikki	f	1890	1956	finn
1440	Glant Tibor	f	1944		amerikai-magyar
1441	Schwartz, Eduard	f	1858	1940	német
1442	Vámbéry Rusztem / Vambery, Rustem	f	1872	1948	amerikai-magyar
1443	Habsburg–Lotaringiai Rudolf főherceg	f	1858	1889	
1444	Gertler János	f	1936		amerikai-magyar
1445	Wass Sámuel	f	1814	1879	
1446	Humboldt, Wilhelm von	f	1767	1835	német
1447	Taruskin, Richard	f	1945		amerikai
1448	Bartal György, id.	f	1785	1865	
1449	Barrow, Paul A.	f	1953		brit
1450	Kántor Lajos	f	1937	2017	romániai magyar
1451	Ambrus Zoltán	f	1861	1932	
1452	Kéky Lajos	f	1879	1946	
1453	Acsády László	f	1966		
1454	Vajda Mihály	f	1935		
1455	Csanádi György	f	1905	1974	
1456	Gyárfás István	f	1822	1883	
1457	Bugát Pál	f	1793	1865	
1458	Thaly Kálmán	f	1839	1909	
1459	Németh Judit	n	1932	2019	
1460	Kovács Ferenc	f	1921	2015	
1461	Jerney János	f	1800	1855	
1462	Seeliger, Hugo von	f	1849	1924	német
1463	Ostwald, Wolfgang	f	1883	1943	német
1464	Zawadzki, Saturnin	f	1923	2003	lengyel
1465	Jakubovich Emil	f	1883	1935	
1466	Medveczky Frigyes	f	1856	1914	
1467	Csefkó Gyula	f	1878	1954	
1468	Szinaj, Jakov Grigorjevics / Sinai, Yakov G.	f	1935		amerikai-orosz
1469	Jendrassik Ernő	f	1858	1921	
1470	Vásárhelyi Pál	f	1795	1846	
1471	Tanárky Sándor	f	1784	1839	
1472	Hartkamp, Arthur	f	1945		holland
1473	Stein Aurél / Stein, Aurel	f	1862	1943	nagy-britanniai magyar
1474	Csíkszentmihályi Mihály	f	1934		amerikai-magyar
1475	Takáts Sándor	f	1860	1932	
1476	Széchy Károly	f	1848	1906	
1477	Kováts Gyula	f	1849	1935	
1478	Erdős Tibor	f	1928		
1479	Vay Miklós báró	f	1802	1894	
1480	Nyáry Albert	f	1828	1886	
1481	Bojkó Miklós	f	1928	2009	ukrajnai magyar
1482	Ujfalvy Károly Jenő	f	1842	1904	franciaországi magyar
1483	Szegedi Gyula	f	1936	2013	
1484	Herzog Ferenc	f	1879	1952	
1485	Schlechta von Wssehrd, Ottokar	f	1825	1894	osztrák
1486	Chikán Attila	f	1944		
1487	Tóth Klára	n	1939	2013	
1488	Mucina, Ladislav	f	1956		szlovák
1489	Ádám József	f	1950		
1490	Obermayer Ernő	f	1888	1969	
1491	Mihalik József	f	1860	1925	
1492	Hegedüs Lajos	f	1831	1883	
1493	Dobb, Maurice Herbert	f	1900	1976	angol
1494	Zsukov, Jevgenyij Mihajlovics	f	1907	1980	orosz
1495	Hodinka Antal	f	1864	1946	
1496	Říman, Josef	f	1925		cseh
1497	Jankovich Miklós	f	1772	1846	
1498	Kondor Gusztáv	f	1825	1897	
1499	Szilágyi Loránd	f	1908	1974	
1500	Ökröss Bálint	f	1829	1889	
1501	Lázár Árpád	f	1935		spanyolországi magyar
1502	Bang-Kaup, Wilhelm	f	1869	1934	német
1503	Schopper, Herwig Franz	f	1924		német
1504	Gachard, Louis Prosper	f	1800	1885	belga
1505	Suppan, Arnold	f	1945		osztrák
1506	Rozwadowski, Jan Michał	f	1867	1935	lengyel
1507	Ács György	f	1923	2013	amerikai-magyar
1508	Szász Károly	f	1798	1853	
1509	Imreh István	f	1919	2003	romániai magyar
1510	Hegedüs Sándor	f	1847	1906	
1511	Heer, Oswald	f	1809	1883	svájci
1512	Lichner Pál	f	1816	1884	
1513	Hermecz István	f	1944	2011	
1514	Farkas Loránd	f	1914	1986	
1515	Scully, Marlan	f	1939		amerikai
1516	Humboldt, Alexander von	f	1769	1859	német
1517	Popp József	f	1955		
1518	Vancsó Gyula	f	1954		hollandiai magyar
1519	Réau, Elisabeth du	f	1937		francia
1520	Greguss Gyula	f	1829	1869	
1521	Fejtő Ferenc	f	1909	2008	franciaországi magyar
1522	Vajda Péter	f	1808	1846	
1523	Spenik Ottó	f	1938		ukrajnai magyar
1524	Hajnóczky György	f	1963		amerikai-magyar
1525	Király Tibor	f	1920		
1526	Laczkovich Miklós	f	1948		
1527	Overbeck, Johannes Adolf	f	1826	1895	német
1528	Mahámahopadjája Mahésacsandra, Njájaratna	f	1836	1897	indiai
1529	Belák Sándor, ifj.	f	1919	1978	
1530	Salamon István	f	1918	2017	ausztráliai magyar
1531	Naville, Henri Édouard	f	1844	1926	svájci
1532	Frank Tibor	f	1948		
1533	Kállay Béni	f	1839	1903	
1534	Barta János	f	1901	1988	
1535	Zakrzewski, Wincenty	f	1844	1928	lengyel
1536	Surányi János	f	1886	1965	
1537	Marót Károly	f	1885	1963	
1538	Szalay Ágoston	f	1811	1877	
1539	Linas, Charles de	f	1812	1887	francia
1540	Klaproth, Heinrich Julius	f	1783	1835	német
1541	Schaff Zsuzsa	n	1943		
1542	Brussel, Hendrik van	f	1944		belga
1543	Konkoly-Thege Gyula	f	1876	1942	
1544	Mensching, Horst	f	1921	2008	német
1545	Lühr, Hermann	f	1946		német
1546	Jagić, Vatroslav	f	1838	1923	horvát
1547	Ullmann Ágnes	n	1927	2019	franciaországi magyar
1548	Bartalus István	f	1821	1899	
1549	Mayr, Georg von	f	1841	1925	német
1550	Ortutay Gyula	f	1910	1978	
1551	Arany László	f	1844	1898	
1552	Csontosi János	f	1846	1918	
1553	Taube, Henry	f	1915	2005	amerikai
1554	Szabó József	f	1822	1894	
1555	Stenseth, Nils Christian	f	1949		norvég
1556	Bertrand, Alexandre	f	1820	1902	francia
1557	Somorjai Gábor Árpád / Somorjai, Gabor A.	f	1935		amerikai-magyar
1558	Waldapfel József	f	1904	1968	
1559	Hantken Miksa	f	1821	1893	
1560	Bodi László	f	1922	2015	ausztráliai magyar
1561	Bruckner Győző	f	1877	1962	
1562	Deutsch Gyula	f	1931	2011	belgiumi magyar
1563	Kiss Elemér	f	1929	2006	romániai magyar
1564	Teixeira de Aragão, Augusto Carlo	f	1823	1903	
1565	Tittel Pál	f	1784	1831	
1566	Mayrhofer, Manfred	f	1926	2011	osztrák
1567	Gebhardt Xavér Ferenc	f	1791	1869	
1568	Vigh Gyula	f	1947		amerikai-magyar
1569	Sully Prudhomme, René François Armand	f	1839	1907	francia
1570	Dohrn, Anton	f	1840	1909	német
1571	Winkler, Heinrich	f	1848	1931	német
1572	Genetz, Arvid	f	1848	1915	finn
1573	Basedow, Jürgen	f	1949		német
1574	Goldziher Ignác	f	1850	1921	
1575	Buckeridge, John	f	1949		új-zélandi
1576	Wenzel Gusztáv	f	1812	1891	
1577	Szegedy Márió	f	1960		amerikai-magyar
1578	Knies, Karl Gustav Adolf	f	1821	1898	német
1579	Kőmíves Tamás	f	1944		
1580	Pullman, Bernard	f	1919	1996	francia
1581	Petőfi Sándor János	f	1931	2013	olaszországi magyar
1582	Reguly Antal	f	1819	1858	
1583	Reichardt, Heinrich Wilhelm	f	1835	1885	osztrák
1584	Kosztolányi György	f	1942		
1585	Philippovich von Philippsberg, Eugen	f	1858	1917	osztrák
1586	Horn Péter	f	1942		
1587	Tury Sándor Kornél	f	1892	1971	
1588	Zipernowsky Károly	f	1853	1942	
1589	Radda György / Sir Radda, George	f	1936		nagy-britanniai magyar
1590	Kovács Alajos	f	1877	1963	
1591	Dessewffy Aurél	f	1846	1928	
1592	Kiss Katalin, É.	n	1949		
1593	Bajza József	f	1885	1938	
1594	Schulek Vilmos	f	1843	1905	
1595	Mednyánszky Alajos	f	1784	1844	
1596	Bláthy Ottó Titusz	f	1860	1939	
1597	Sík Sándor	f	1889	1963	
1598	Friedrich Péter	f	1936	2013	
1599	Abay Gyula	f	1891	1978	
1600	Heller Erik	f	1880	1958	
1601	Barta György	f	1915	1992	
1602	Gubernatis, Angelo de	f	1840	1913	olasz
1603	Magyar László	f	1818	1864	
1604	Keresztesi Béla	f	1922	2001	
1605	Pecz Vilmos	f	1854	1923	
1606	Rose, Gustav	f	1798	1873	német
1607	Soran, Viorel	f	1928	2014	román
1608	Hanák János	f	1812	1849	
1609	Laki Kálmán	f	1909	1983	
1610	Csiki Ernő	f	1875	1954	
1611	Puigdoménech Rosell, Pere	f	1948		spanyol
1612	Wöhler, Friedrich	f	1800	1882	német
1613	Kovács György	f	1925	1988	
1614	Miskolczy Gyula	f	1892	1962	
1615	Somos András	f	1911	1996	
1616	Csáky Károly	f	1783	1846	
1617	Schafarzik Ferenc	f	1854	1927	
1618	Wilamowski, Bogdan M.	f	1944		lengyel
1619	Péter László	f	1929	2008	nagy-britanniai magyar
1620	Brugmann, Karl Friedrich Christian	f	1849	1919	német
1621	Myskovszky Viktor	f	1838	1909	
1622	Krisztin Tibor	f	1956		
1623	Elekes Lajos	f	1914	1982	
1624	Szabó T. Attila	f	1906	1987	romániai magyar
1625	Sajó Sándor	f	1868	1933	
1626	I. Ferdinánd	f	1861	1948	bolgár
1627	Meskó Attila	f	1940	2008	
1628	Fiedler, Josef	f	1819	1908	német
1629	Hirth, Friedrich	f	1845	1927	német
1630	Polanyi Levitt, Kari	f	1923		amerikai
1631	Angyal Pál	f	1873	1949	
1632	Teleki Géza	f	1843	1913	
1633	Bölcskei Elemér	f	1917	1977	
1634	Katona Gyula	f	1941		
1635	Szabó Attila	f	1947		amerikai-magyar
1636	Bernard, Claude	f	1813	1878	francia
1637	Schedius Lajos	f	1768	1847	
1638	Ferenczy Lajos	f	1930	2004	
1639	Ratkovszky Ferenc	f	1900	1965	
1640	Vértes Attila	f	1934	2011	
1641	Möller, Detlev	f	1947		német
1642	Vay Ábrahám	f	1789	1855	
1643	Károlyi György	f	1968		
1644	Lengyel Béla	f	1903	1990	
1645	Schvarcz Gyula	f	1838	1900	
1646	Fedoszejev, Pjotr Nyikolajevics	f	1908	1990	orosz
1647	Mikola Sándor	f	1871	1945	
1648	Müller, Mathias M.	f	1942		osztrák
1649	Melnyikov, Nyikolaj Vasziljevics	f	1909	1980	orosz
1650	Kovács Ferenc	f	1938		
1651	Faragó Béla	f	1958		franciaországi magyar
1652	Szerebrennyikov, Borisz Alekszandrovics	f	1915	1989	orosz
1653	Wolf, Maximilian Franz Joseph Cornelius	f	1863	1932	német
1654	Jankovich Béla	f	1865	1939	
1655	Kósa László	f	1942		
1656	Kalchbrenner Károly	f	1807	1886	
1657	Köpeczi Béla	f	1921	2010	
1658	Niederhauser Emil	f	1923	2010	
1659	Gillemot László	f	1912	1977	
1660	Kürschák József	f	1864	1933	
1661	Csazov, Jevgenyij Ivanovics	f	1929		orosz
1662	Cserna János	f	1795	1890	
1663	Kieniewicz, Stefan	f	1907	1992	lengyel
1664	Gribov, Vlagyimir Naumovics	f	1930	1997	orosz
1665	Rübensam, Erich	f	1922	2016	német
1666	Entz Béla	f	1877	1959	
1667	Gyurikovits György	f	1780	1848	
1668	Maynard Smith, John	f	1920	2004	angol
1669	Schönmuth, Georg	f	1928	2016	német
1670	Benedek Pál	f	1921	2009	
1671	Selényi Pál	f	1882	1954	
1672	Dopsch, Alfons	f	1868	1953	osztrák
1673	Frankenburg Adolf	f	1811	1884	
1674	Ludwig, Carl	f	1816	1895	német
1675	Darkó Jenő	f	1880	1940	
1676	Balázs Ervin	f	1948		
1677	Tisza István	f	1861	1918	
1678	Martin Lajos	f	1827	1897	
1679	Bálint Péter	f	1911	1998	
1680	Heck, Bernhard	f	1951		német
1681	Pauer János	f	1814	1889	
1682	Zsoldos Ignác	f	1803	1885	
1683	Lechner Károly	f	1850	1922	
1684	Szendy Károly	f	1911	1981	
1685	Néda Zoltán	f	1964		romániai magyar
1686	Pór Antal	f	1834	1911	
1687	Márkus Gábor	f	1922	2012	amerikai-magyar
1688	Halmai Péter	f	1953		
1689	Baer, Karl Ernst von	f	1792	1876	észt-német
1690	Geraszimov, Innokentyij Petrovics	f	1905	1985	orosz
1691	Greguss Ágost	f	1825	1882	
1692	Honti László	f	1943		
1693	Pálfy József	f	1962		
1694	Say Móric	f	1830	1885	
1695	Kéry Imre	f	1798	1887	
1696	Thanhoffer Lajos	f	1843	1909	
1697	Ovcsinnyikov, Jurij Anatoljevics	f	1934	1988	orosz
1698	Mikszáth Kálmán	f	1847	1910	
1699	Teller Ede	f	1908	2003	amerikai-magyar
1700	Tóth Zoltán, I.	f	1911	1956	
1701	Spener, Friedrich	f	1939		német
1702	Kuun Géza	f	1838	1905	
1703	Kostojanc, Hacsatur	f	1900	1961	örmény
1704	Hökfelt, Tomas	f	1940		svéd
1705	Turán Pál	f	1910	1976	
1706	Kiss L. László	f	1972		
1707	Lugossy József	f	1812	1884	
1708	Vargha László	f	1903	1971	
1709	Batsányi János	f	1763	1845	
1710	Ókita Szaburó	f	1914	1993	japán
1711	Hubay Jenő	f	1858	1937	
1712	Podani János	f	1952		
1713	Réthy Mór	f	1848	1925	
1714	Bauer Győző	f	1942	2018	szlovákiai magyar
1715	Silver, Robin Angus	f	1956		brit
1716	Prónay Albert	f	1801	1867	
1717	Tasner Antal	f	1808	1861	
1718	Knoll József	f	1925	2018	
1719	Kibédi Varga Áron	f	1930	2018	hollandiai magyar
1720	Mittermaier, Carl Joseph Anton	f	1787	1867	német
1721	Bodnár János	f	1889	1953	
1722	Pogány Béla	f	1887	1943	
1723	Aretin, Karl Otmar von	f	1923	2014	német
1724	Heller Ágost	f	1843	1902	
1725	Horváth Mihály	f	1809	1878	
1726	Mesterházy Ákos	f	1945		
1727	Vitry, Paul	f	1872	1941	francia
1728	Pál-Antal Sándor	f	1939		romániai magyar
1729	Vásáry István	f	1945		
1730	Fekete Zoltán	f	1877	1962	
1731	Fonó Albert	f	1881	1972	
1732	Klebelsberg Kuno	f	1875	1932	
1733	Perger János	f	1791	1838	
1734	Entz Ferenc	f	1805	1877	
1735	Jauss, Hans Robert	f	1921	1997	német
1736	Andics Erzsébet	n	1902	1986	
1737	Komjáth Péter	f	1953		
1738	Domanovszky Endre	f	1817	1895	
1739	Zlamál Vilmos	f	1803	1886	
1740	Trefort Ágoston	f	1817	1888	
1741	Barabás Zoltán	f	1926	1993	
1742	Bozó László	f	1962		
1743	Benda Kálmán	f	1913	1994	
1744	Kovács István	f	1799	1872	
1745	Jánossy György	f	1940		nagy-britanniai magyar
1746	Lámfalussy Sándor	f	1929	2015	belgiumi magyar
1747	Fouqué, Ferdinand André	f	1828	1904	francia
1748	Györfi László	f	1947		
1749	Rodbell, Martin	f	1925	1998	amerikai
1750	Vész János Ármin	f	1826	1882	
1751	Misteli, Franz	f	1841	1903	svájci
1752	Bajev, Alekszandr Alekszandrovics	f	1904	1994	orosz
1753	Madách Imre	f	1823	1864	
1754	Lovas Rezső György	f	1946		
1755	Georch Illés	f	1772	1835	
1756	Rákos Péter	f	1925	2002	szlovákiai magyar
1757	Aszalós Adorján	f	1929		amerikai-magyar
1758	Zsigmondy Vilmos	f	1821	1888	
1759	Fináczy Ernő	f	1860	1935	
1760	Palugyay Imre	f	1818	1866	
1761	Futaki Siroh	f	1959		japán
1762	Nagy Miklós	f	1881	1962	
1763	Bodis-Wollner Iván	f	1937		amerikai-magyar
1764	Bokor József	f	1948		
1765	Fábián István	f	1809	1871	
1766	Némethi András	f	1959		
1767	Schulek Elemér	f	1893	1964	
1768	Rados Gusztáv	f	1862	1942	
1769	Schöpf-Merei Ágost	f	1804	1858	
1770	Orbán Balázs	f	1830	1890	
1771	Bollobás Enikő	n	1952		
1772	Gyimóthy Tibor	f	1953		
1773	Hunyady Jenő	f	1838	1889	
1774	Láng Lajos	f	1849	1918	
1775	Hunfalvy János	f	1820	1888	
1776	Grenács László	f	1933	2017	belgiumi magyar
1777	Gergely János	f	1925	2008	
1778	Koselleck, Reinhart	f	1923	2006	német
1779	Simonyi Károly	f	1916	2001	
1780	Kocsis Károly	f	1960		
1781	Vojadzóglu, Joánisz / Boyazoglu, Jean	f	1937	2018	görög-francia
1782	Csabai István	f	1965		
1783	Lendl Adolf	f	1862	1942	
1784	Oláh György	f	1927	2017	
1785	Merker, Paul	f	1881	1945	német
1786	Szemere Samu	f	1881	1978	
1787	Fellner Frigyes	f	1871	1945	
1788	Schiefner, Franz Anton	f	1817	1879	oroszországi német
1789	Kuo Mo-zso	f	1892	1978	kínai
1790	Dimény Imre	f	1922	2017	
1791	Tomasello, Michael	f	1950		amerikai
1792	Ferenczi Zoltán	f	1857	1927	
1793	Burkard, Rainer Ernst	f	1943		osztrák
1794	Érdy János	f	1796	1871	
1795	Mang, Herbert A.	f	1942		osztrák
1796	Kondorosi Éva	n	1948		
1797	Schmidt Henrik	f	1877	1953	
1798	Schinzel, Andrzej	f	1937		lengyel
1799	Thienemann Tivadar	f	1890	1985	
1800	Tandori Károly	f	1925	2005	
1801	Nagy Gyula	f	1849	1924	
1802	Szemerédi Endre	f	1941		
1803	Tassonyi Edömér	f	1940		svájci magyar
1804	Arber, Werner	f	1929		svájci
1805	Vörös Imre	f	1944		
1806	Buczy Emil	f	1782	1839	
1807	Fodor Zoltán	f	1964		németországi magyar
1808	Boros Endre	f	1953		amerikai-magyar
1809	Szinovácz György	f	1807	1867	
1810	Mengyelejev, Dmitrij Ivanovics	f	1834	1907	orosz
1811	Kornai János	f	1928		
1812	Wickman, Bo	f	1917	2007	svéd
1813	Easterling, Patricia Elizabeth	n	1934		brit
1814	Kövesligethy Radó	f	1862	1934	
1815	Neuber Ede	f	1882	1946	
1816	Oliver, Stephen G.	f	1949		angol
1817	Boréa, Theofílu	f	1873	1954	görög
1818	Pölöskei Ferenc	f	1930	2016	
1819	Babits Mihály	f	1883	1941	
1820	Rudas László	f	1885	1950	
1821	Szilágyi Sándor	f	1827	1899	
1822	Jovin, Thomas J.	f	1939		német
1823	Shackleton, Robert	f	1919	1986	angol
1824	Penke Botond	f	1942		
1825	Gombos Ferenc Albin	f	1873	1938	
1826	Tárkányi Béla	f	1821	1886	
1827	Horváth Henrik	f	1888	1941	
1828	Viola József	f	1770	1858	
1829	Szabó István Mihály	f	1925	2015	
1830	Lehn, Jean-Marie	f	1939		francia
1831	Salemann, Carl Hermann	f	1850	1916	orosz
1832	Dana, James Dwight	f	1813	1895	amerikai
1833	Zách János Ferenc / Zach, Franz Xaver von	f	1754	1832	németországi magyar
1834	Pelliot, Paul	f	1878	1945	francia
1835	Brisits Frigyes	f	1890	1969	
1836	Fekete Lajos	f	1837	1916	
1837	Wiesel, Torsten Nils	f	1924		svéd
1838	Benkő Loránd	f	1921	2011	
1839	Hoblik Márton	f	1791	1845	
1840	Ember Győző	f	1909	1993	
1841	Győry Vilmos	f	1838	1885	
1842	Keleti Károly	f	1833	1892	
1843	Ráman, Csandrasékhar Vénkat	f	1888	1970	
1844	Acsády Ignác	f	1845	1906	
1845	Camprag Dusán	f	1925		szerb-magyar
1846	Székely György	f	1924	2016	
1847	Gombás Pál	f	1909	1971	
1848	Arenstein József	f	1816	1892	
1849	Szuzuki Kóicsi	f	1939	2010	japán
1850	Detrekői Ákos	f	1939	2012	
1851	Fehér Dániel	f	1890	1955	
1852	Nagy Ferenc István	f	1952		
1853	Simai Kristóf	f	1742	1833	
1854	Kahn-Freund, Otto	f	1900	1979	angol
