id	tagid	tipus	ev
2709	783	t	1831
2710	1541	r	2016
2711	2952	r	1928
2712	1008	k	2001
2713	2978	r	1976
2714	1165	r	2001
2715	2208	l	2001
2716	2070	r	1871
2717	752	l	1880
2718	1592	l	2007
2719	2902	l	1880
2720	2217	t	1998
2721	1129	t	1884
2722	3216	k	2016
2723	1013	r	1993
2724	3125	t	1929
2725	1315	l	2001
2726	2644	l	1918
2727	310	l	1990
2728	2698	t	1960
2729	219	t	1995
2730	820	l	1936
2731	880	l	1834
2732	1860	l	1941
2733	1472	t	2010
2734	760	t	1998
2735	1412	r	1946
2736	1221	r	1979
2737	503	t	1940
2738	2879	r	1954
2739	946	l	1905
2740	225	r	2007
2741	574	t	1846
2742	2045	l	1879
2743	1394	t	1961
2744	1808	k	2016
2745	2511	l	1936
2746	1790	l	1982
2747	1882	t	1937
2748	666	l	1870
2749	2092	t	1940
2750	1150	t	1881
2751	201	r	1964
2752	2108	l	2004
2753	2061	l	1941
2754	1146	l	1861
2755	238	l	1910
2756	2941	k	1937
2757	2434	l	1858
2758	1926	l	1924
2759	2271	l	1836
2760	2360	l	2019
2761	2844	l	1970
2762	25	t	2001
2763	289	t	1970
2764	1670	l	1973
2765	2429	r	1946
2766	114	t	1838
2767	859	r	1970
2768	2309	t	1858
2769	3033	l	1879
2770	2472	l	1956
2771	215	t	2019
2772	2272	t	1938
2773	1159	t	1976
2774	1345	l	2001
2775	61	r	1949
2776	823	r	1960
2777	313	r	1993
2778	399	t	2016
2779	1064	k	1998
2780	3070	r	1900
2781	1612	t	1881
2782	337	r	1858
2783	281	l	1846
2784	2956	t	1955
2785	144	l	1998
2786	901	r	2010
2787	651	r	1894
2788	2399	t	1887
2789	193	k	1998
2790	842	r	1985
2791	1669	t	1986
2792	268	k	1995
2793	2786	r	1940
2794	229	k	1990
2795	3149	r	2007
2796	650	k	2007
2797	973	l	1951
2798	3126	l	1861
2799	1919	l	1936
2800	1040	l	1858
2801	768	l	1939
2802	375	l	2016
2803	2833	l	1909
2804	1247	r	1910
2805	2106	l	1958
2806	743	r	1982
2807	334	r	1954
2808	1842	l	1868
2809	1128	k	2016
2810	875	l	2013
2811	911	l	1920
2812	788	r	1877
2813	860	r	1976
2814	1773	l	1867
2815	15	k	1998
2816	3005	t	1880
2817	3006	l	2019
2818	981	l	1993
2819	2957	r	1892
2820	1949	l	1905
2821	825	r	1985
2822	142	l	2019
2823	1429	r	1934
2824	1045	l	1908
2825	967	t	2019
2826	248	t	1976
2827	2325	k	2004
2828	811	l	1948
2829	538	k	1993
2830	621	r	1995
2831	1489	l	1998
2832	1689	t	1846
2833	2331	l	1965
2834	1372	l	1948
2835	340	t	1861
2836	1615	r	1955
2837	1384	r	1970
2838	1417	l	1916
2839	2020	r	1832
2840	419	t	1983
2841	3036	t	1979
2842	1368	k	1993
2843	663	l	2010
2844	1427	r	2001
2845	2126	t	1874
2846	2542	l	1998
2847	1000	k	2019
2848	2030	l	1832
2849	1373	l	2013
2850	2803	r	1939
2851	169	t	1910
2852	930	l	1973
2853	960	l	1844
2854	2724	l	1884
2855	3095	k	2001
2856	1509	k	1990
2857	3054	l	1907
2858	1396	l	1946
2859	1950	l	1940
2860	384	t	1899
2861	231	r	1956
2862	3094	r	1938
2863	2199	t	1973
2864	2447	t	1953
2865	786	r	1871
2866	1459	l	1998
2867	2668	l	1831
2868	2963	r	1945
2869	1971	l	1858
2870	1030	r	2004
2871	1376	r	1953
2872	380	t	1995
2873	734	l	1916
2874	2690	l	1904
2875	1222	l	1949
2876	1012	r	1830
2877	2110	l	1911
2878	513	t	1889
2879	2432	k	1993
2880	1534	l	1967
2881	2990	r	1993
2882	2440	k	1993
2883	3063	l	1943
2884	3003	l	1904
2885	1682	l	1837
2886	94	l	1858
2887	2768	t	1908
2888	677	r	1960
2889	2975	t	1933
2890	965	r	1987
2891	763	k	1890
2892	363	l	1837
2893	2330	t	1981
2894	1941	r	1924
2895	2644	r	1935
2896	2023	t	2019
2897	1777	r	1990
2898	100	r	1884
2899	2794	r	1998
2900	2326	l	2004
2901	471	t	1998
2902	326	t	1973
2903	90	r	2019
2904	330	l	1858
2905	781	t	1983
2906	2105	l	1861
2907	1999	r	1873
2908	1818	r	1995
2909	824	l	1910
2910	692	r	1970
2911	1465	l	1924
2912	456	l	1831
2913	652	l	1888
2914	149	t	1912
2915	2501	l	1874
2916	2519	r	2007
2917	2419	r	1901
2918	2792	l	1938
2919	963	l	1995
2920	1278	t	1986
2921	39	l	1965
2922	856	l	1979
2923	3022	l	1970
2924	2513	l	1995
2925	1965	l	1987
2926	3070	l	1886
2927	1700	l	1954
2928	858	l	1886
2929	1349	l	1985
2930	832	l	1858
2931	2435	l	1976
2932	2264	l	1973
2933	2431	l	1895
2934	1173	r	1995
2935	731	l	1908
2936	520	l	1832
2937	2094	t	1993
2938	891	k	1990
2939	1737	l	2010
2940	766	t	1939
2941	2355	r	2010
2942	838	l	1888
2943	1630	t	2004
2944	2029	t	1891
2945	2875	l	1839
2946	1501	k	1998
2947	2585	l	1867
2948	998	k	2016
2949	779	r	1867
2950	1136	t	1831
2951	2922	r	2016
2952	1307	l	1861
2953	3154	l	1970
2954	598	t	2019
2955	1561	l	1926
2956	406	l	2001
2957	328	l	1910
2958	271	t	1934
2959	841	l	1901
2960	1023	t	1933
2961	2957	l	1880
2962	1873	l	1942
2963	2760	r	1993
2964	3052	l	1903
2965	1230	l	1858
2966	2991	r	2013
2967	2180	k	2004
2968	1776	k	2007
2969	2097	l	1925
2970	1201	t	1832
2971	3017	r	1910
2972	3154	r	1979
2973	3108	k	2010
2974	2114	r	1990
2975	3077	l	2001
2976	1322	r	1985
2977	272	r	1991
2978	735	t	1861
2979	2606	t	1986
2980	562	l	1962
2981	432	t	2010
2982	1255	k	1990
2983	76	l	1970
2984	434	r	1998
2985	2959	r	2013
2986	2444	l	1847
2987	526	r	1946
2988	2414	r	1995
2989	1967	t	1912
2990	1495	r	1933
2991	2878	t	1920
2992	3067	t	1983
2993	2204	k	2004
2994	1493	t	1973
2995	296	k	1998
2996	1018	t	1967
2997	659	l	1832
2998	1107	t	1911
2999	1603	l	1858
3000	2949	t	1990
3001	1884	t	1835
3002	2076	t	1964
3003	1051	l	1892
3004	1820	r	1949
3005	491	l	1901
3006	611	r	1936
3007	2593	t	2010
3008	985	l	1979
3009	2515	t	1970
3010	2678	t	1965
3011	647	l	1934
3012	1806	l	1832
3013	261	t	2007
3014	3148	t	2004
3015	1713	l	1878
3016	2493	r	1904
3017	1725	r	1841
3018	2736	t	1859
3019	2555	t	2004
3020	923	t	1858
3021	1865	r	1985
3022	988	l	1922
3023	1299	t	1867
3024	1597	l	1946
3025	2433	t	1934
3026	1659	l	1949
3027	2442	l	1898
3028	2510	l	1973
3029	2624	t	1945
3030	458	r	1942
3031	233	r	2019
3032	784	l	1946
3033	3101	r	1953
3034	532	t	1903
3035	2239	l	2010
3036	1189	l	1982
3037	449	r	2007
3038	1117	l	1943
3039	2724	r	1896
3040	2759	r	1926
3041	2637	l	1863
3042	730	r	1995
3043	1401	r	2010
3044	158	t	1839
3045	1379	l	1982
3046	2246	t	1903
3047	996	l	1953
3048	1876	r	1976
3049	1313	r	1993
3050	2079	r	2010
3051	2164	r	2019
3052	2539	l	1922
3053	1246	l	2016
3054	2650	l	2010
3055	3200	t	2010
3056	649	t	1935
3057	1013	l	1990
3058	2385	t	1875
3059	638	l	1982
3060	1272	l	1970
3061	1725	l	1839
3062	504	t	1940
3063	2430	k	1995
3064	1227	l	1973
3065	1261	l	1863
3066	1381	l	2010
3067	2179	l	1948
3068	1167	l	1948
3069	1956	t	1914
3070	1519	t	2004
3071	2444	r	1858
3072	3098	l	1948
3073	1802	r	1987
3074	1606	t	1873
3075	2753	r	1998
3076	2609	l	1903
3077	3178	r	1976
3078	1702	t	1883
3079	1265	l	1935
3080	1120	k	2013
3081	1815	l	1938
3082	2002	l	1987
3083	2281	l	1873
3084	362	l	2019
3085	333	l	2007
3086	1875	l	1945
3087	2459	t	1868
3088	921	t	2004
3089	411	t	1881
3090	2027	r	1976
3091	1267	t	1979
3092	2921	t	1940
3093	263	l	1987
3094	2453	t	1913
3095	1453	l	2019
3096	1733	r	1832
3097	1731	l	1954
3098	2512	l	1841
3099	259	t	1871
3100	2883	t	1970
3101	2362	l	1858
3102	1576	r	1858
3103	2729	r	1838
3104	1885	t	1973
3105	1543	l	1938
3106	2971	t	1888
3107	93	l	1998
3108	1340	t	1832
3109	223	t	1858
3110	2323	l	1839
3111	2697	r	1922
3112	172	r	2004
3113	2620	t	1906
3114	218	k	1998
3115	1298	r	1886
3116	2448	k	1871
3117	572	r	1990
3118	2594	r	1990
3119	2075	k	1858
3120	227	r	2010
3121	1944	l	1918
3122	1987	l	1913
3123	1662	l	1832
3124	2080	l	1876
3125	2141	r	2001
3126	1682	r	1838
3127	2573	r	1923
3128	1054	k	1990
3129	3020	l	1985
3130	2830	r	1995
3131	2182	r	1941
3132	1029	t	1970
3133	913	r	1840
3134	3179	k	1993
3135	604	t	1893
3136	16	r	1976
3137	2426	l	2019
3138	2789	t	2001
3139	2689	l	1871
3140	318	r	1993
3141	656	t	1858
3142	3171	k	1990
3143	82	t	1953
3144	2366	t	1906
3145	1979	l	1860
3146	1428	l	1860
3147	2830	l	1987
3148	1264	k	2010
3149	1173	l	1990
3150	3085	r	1979
3151	1968	l	1864
3152	2899	t	1893
3153	612	l	1861
3154	2387	l	1861
3155	2881	t	1863
3156	1329	t	1995
3157	850	l	1961
3158	192	l	1942
3159	1322	l	1976
3160	2370	t	1877
3161	2863	l	1858
3162	3048	l	2004
3163	299	r	1950
3164	1817	t	1939
3165	2537	r	1838
3166	1695	l	1858
3167	161	t	1867
3168	309	l	1832
3169	2487	r	1993
3170	3159	r	1979
3171	2710	r	1990
3172	565	k	2016
3173	1996	l	2004
3174	746	k	2013
3175	1828	l	1838
3176	2151	r	2007
3177	2198	l	1834
3178	3184	r	2013
3179	3105	l	1919
3180	1350	r	1960
3181	286	l	1993
3182	2096	t	1940
3183	264	l	1859
3184	1912	t	1976
3185	283	r	1853
3186	2819	t	2001
3187	2983	l	1838
3188	1335	t	1939
3189	2670	r	1949
3190	2047	r	2007
3191	80	l	1884
3192	1929	l	1918
3193	1685	k	2007
3194	2834	l	1954
3195	220	r	1991
3196	277	l	1930
3197	97	r	1953
3198	784	r	1947
3199	1866	r	1891
3200	1137	l	1833
3201	2731	l	2019
3202	1787	r	1936
3203	444	r	1967
3204	2562	r	2004
3205	2	t	1973
3206	3199	l	1976
3207	2890	r	1964
3208	1653	t	1908
3209	1746	k	1998
3210	2673	l	1931
3211	727	l	1835
3212	1816	t	1998
3213	1363	l	1832
3214	2798	r	1950
3215	2981	t	1965
3216	2577	l	2004
3217	1199	r	1995
3218	2805	l	1836
3219	2248	t	2001
3220	1443	t	1878
3221	377	t	1858
3222	1344	t	1833
3223	3069	l	1902
3224	2208	r	2007
3225	2507	t	1922
3226	1679	l	1970
3227	2418	l	1949
3228	1706	r	2019
3229	3038	l	1836
3230	868	r	1985
3231	1851	l	1954
3232	3211	t	1838
3233	2185	k	2019
3234	562	r	1973
3235	98	t	1976
3236	2055	l	1927
3237	1937	l	1993
3239	530	t	1970
3240	158	l	1835
3241	3111	t	1998
3242	2373	r	2019
3243	2845	l	1942
3244	2329	l	1902
3245	773	r	1904
3246	1139	k	1998
3247	609	l	1909
3248	2032	l	1990
3249	2796	l	1878
3250	1165	l	1993
3251	209	l	1831
3252	1271	t	1878
3253	1386	r	2010
3254	811	r	1970
3255	2317	l	1987
3256	1268	l	1923
3257	1259	l	1990
3258	2007	t	2001
3259	908	r	1941
3260	94	r	1898
3261	1863	l	1973
3262	346	l	1843
3263	3079	l	1945
3264	1406	l	2007
3265	2751	l	1914
3266	1605	r	1902
3267	242	t	1858
3268	2761	l	1876
3269	2544	t	1995
3270	1559	r	1874
3271	2937	t	1953
3272	2263	r	1979
3273	3078	t	1927
3274	68	r	2016
3275	2117	l	1945
3276	2822	k	1995
3277	1109	l	1973
3278	433	l	1868
3279	587	t	1925
3280	2712	l	1937
3281	2897	t	1983
3282	3096	t	1930
3283	2821	r	1940
3284	2115	t	1898
3285	912	t	1909
3286	2402	l	1858
3287	28	t	1872
3288	236	r	2010
3289	1514	l	1973
3290	1445	l	1861
3291	2487	l	1985
3292	1861	t	1929
3293	1697	t	1983
3294	2152	r	1917
3295	2096	r	1932
3296	3040	r	1958
3297	548	l	1995
3298	3215	r	1993
3299	1540	k	1834
3300	226	r	2001
3301	1492	l	1874
3302	1617	l	1902
3303	2131	l	1973
3304	74	t	1945
3305	2610	r	2013
3306	2782	l	1843
3307	3213	r	1858
3308	1415	r	2007
3309	519	l	2010
3310	947	t	1940
3311	1942	t	2010
3312	3188	k	1990
3313	130	t	1864
3314	361	t	1858
3315	3087	k	2007
3316	2401	r	1985
3317	452	l	1970
3318	725	r	2001
3319	1040	r	1858
3320	3130	t	1949
3321	2577	r	2013
3322	625	l	1993
3323	103	t	2016
3324	1199	l	1987
3325	599	l	1839
3326	3051	k	2004
3327	2456	l	1964
3328	1824	r	2007
3329	1081	l	2001
3330	2181	t	1939
3331	1106	t	1986
3332	496	t	1958
3333	507	l	1949
3334	1649	t	1976
3335	1090	k	2010
3336	491	r	1920
3337	2334	t	1935
3338	2050	l	1979
3339	924	t	1946
3340	1821	l	1858
3341	2850	l	1950
3342	2161	r	1934
3343	295	r	1995
3344	3193	r	1995
3345	2959	l	2007
3346	2053	t	1903
3347	1488	t	2016
3348	1327	l	1993
3349	2103	r	1945
3350	1444	k	1995
3351	1077	r	1993
3352	1043	t	1970
3353	1287	t	1930
3354	2044	r	2007
3355	940	r	1873
3356	1532	r	2019
3357	2355	l	2004
3358	450	r	1889
3359	364	l	1976
3360	1774	l	1883
3361	1791	t	2010
3362	2403	l	2001
3363	2590	l	1858
3364	1892	t	1858
3365	2436	t	1878
3366	3040	l	1954
3367	70	t	1990
3368	2016	r	2001
3369	2954	t	1979
3370	2705	k	1995
3371	1722	r	1931
3372	2988	k	1928
3373	2117	r	1947
3374	2562	l	1995
3375	2441	l	1942
3376	1119	l	2001
3377	1032	l	2019
3378	2841	r	1993
3379	1338	l	1945
3380	353	k	1995
3381	540	r	1990
3382	1792	r	1917
3383	747	t	1955
3384	2191	l	1858
3385	2042	r	1919
3386	2124	t	2013
3387	145	l	1938
3388	1891	r	1830
3389	1198	t	1990
3390	1497	t	1831
3391	1799	l	1923
3392	2509	l	1937
3393	2353	t	1899
3394	385	k	1990
3395	950	t	1976
3396	1130	k	1990
3397	2235	t	2016
3398	1231	t	1998
3399	2920	r	2016
3400	957	t	1986
3401	519	r	2016
3402	2228	r	1893
3403	1651	k	2019
3404	2741	r	1830
3405	585	t	1858
3406	802	l	1961
3407	505	r	1941
3408	3103	l	1998
3409	1915	l	1945
3410	1441	t	1929
3411	904	r	2007
3412	757	l	1832
3413	585	l	1839
3414	2172	r	1907
3415	664	t	1986
3416	1415	l	2001
3417	2326	r	2010
3418	109	l	2016
3419	985	r	1987
3420	2943	t	1892
3421	370	r	1979
3422	1908	l	1939
3423	2622	l	1905
3424	1119	r	2007
3425	902	k	1998
3426	1955	r	2004
3427	593	l	1946
3428	989	r	2013
3429	3030	l	1910
3430	1983	k	2013
3431	2656	t	1858
3432	381	r	1990
3433	1239	l	1982
3434	2494	l	1993
3435	1931	t	1993
3436	1933	t	1973
3437	2711	l	1958
3438	1671	l	1948
3439	1182	l	1924
3440	608	t	2004
3441	2149	l	1922
3442	2714	t	1923
3443	2292	r	1995
3444	1977	t	2007
3445	780	t	1894
3446	696	l	1993
3447	1392	k	2007
3448	3084	l	1942
3449	2143	t	1899
3450	1717	l	1833
3451	1924	l	1847
3452	1857	t	1955
3453	331	t	2004
3454	2862	l	1942
3455	620	r	1976
3456	1599	l	1939
3457	3214	t	1847
3458	3037	t	1888
3459	1251	t	1880
3460	2951	l	1899
3461	1312	l	1840
3462	1982	l	1864
3463	1668	t	1993
3464	2118	k	2010
3465	1768	r	1907
3466	2695	l	1976
3467	1348	t	1990
3468	250	t	1927
3469	2755	t	1988
3470	1294	l	1990
3471	495	t	1876
3472	2950	l	1929
3473	2090	l	1973
3474	3147	r	1976
3475	1082	k	2016
3476	2104	l	1899
3477	2107	t	1858
3478	2145	t	1995
3479	1422	l	1837
3480	1655	r	2007
3481	1020	l	1956
3482	1569	t	1901
3483	1477	l	1884
3484	1203	r	2010
3485	3223	l	1927
3486	611	t	1943
3487	2917	k	2019
3488	1992	k	2013
3489	1042	l	1922
3490	597	l	1998
3491	643	r	1982
3492	466	t	1900
3493	2275	r	1830
3494	630	r	2016
3495	2966	l	1993
3496	724	t	2001
3497	2930	r	1894
3498	146	l	1937
3499	990	l	1858
3500	157	t	1986
3501	2088	t	1918
3502	186	t	1831
3503	3072	l	1965
3504	1928	k	2001
3505	2699	l	1948
3506	1953	l	1896
3507	1989	l	1990
3508	351	l	1938
3509	729	t	1995
3510	842	l	1973
3511	2460	k	2019
3512	404	l	1896
3513	391	t	1986
3514	1744	l	1845
3515	405	r	1943
3516	2039	k	2019
3517	274	t	1879
3518	2700	l	1976
3519	1147	t	2007
3520	1870	t	1990
3521	2528	t	1911
3522	2826	r	1970
3523	671	k	2013
3524	2212	t	1880
3525	2027	l	1970
3526	1654	l	1913
3527	2795	t	2001
3528	1432	k	2004
3529	2095	t	1983
3530	2025	t	1871
3531	1839	l	1832
3532	699	r	2010
3533	1988	t	1873
3534	1218	r	2019
3535	115	r	1976
3536	1419	t	1872
3537	528	r	1985
3538	1691	r	1863
3539	76	r	1976
3540	1823	t	1979
3541	2102	t	1834
3542	822	l	1995
3543	1815	r	1943
3544	2527	k	1938
3545	2226	t	2010
3546	2408	l	1875
3547	2364	l	1832
3548	2238	t	1995
3549	89	t	1870
3550	287	l	1930
3551	2984	l	1892
3552	216	l	1894
3553	2901	t	1872
3554	1386	l	2004
3555	3012	r	1990
3556	2116	r	1934
3557	831	l	1893
3558	97	l	1951
3559	2165	t	1980
3560	133	t	1998
3561	313	l	1985
3562	2720	l	1982
3563	1589	t	2010
3564	14	l	2004
3565	2842	t	1858
3566	2737	t	2004
3567	116	t	1927
3568	804	r	1970
3569	2304	l	1870
3570	2098	r	1982
3571	903	l	1846
3572	1830	t	2001
3573	1223	l	1970
3574	396	l	2016
3575	875	r	2019
3576	3151	r	1872
3577	3206	r	1990
3578	177	r	2013
3579	1402	l	1833
3580	1362	r	1998
3581	2205	t	1832
3582	1539	t	1878
3583	354	l	1923
3584	1214	l	2016
3585	3196	l	1836
3586	2225	r	2010
3587	3168	t	1899
3588	675	t	2001
3589	642	l	2019
3590	697	l	1888
3591	601	k	1993
3592	2763	l	1965
3593	1215	r	1945
3594	2063	r	1985
3595	1878	r	1918
3596	2607	l	1970
3597	343	k	2010
3598	2160	r	1990
3599	2912	l	1934
3600	252	t	1914
3601	2198	t	1865
3602	363	r	1858
3603	2120	r	1979
3604	1030	l	1998
3605	1883	l	2001
3606	3184	l	2007
3607	890	l	1832
3608	3131	l	1874
3609	332	r	1948
3610	767	r	1998
3611	1077	l	1987
3612	2232	t	1931
3613	2918	l	1998
3614	3106	t	1914
3615	427	t	1858
3616	2810	l	1908
3617	776	l	1950
3618	392	k	1998
3619	795	r	1832
3620	3190	t	1893
3621	1943	t	1858
3622	315	l	1833
3623	2310	t	2007
3624	2541	r	1990
3625	132	r	1835
3626	905	r	1911
3627	1308	r	1939
3628	2294	l	1913
3629	1375	r	1995
3630	1958	r	1894
3631	2666	t	1932
3632	2374	t	2013
3633	2206	r	2004
3634	400	t	1832
3635	442	r	2007
3636	1481	k	2004
3637	537	l	1987
3638	137	t	1958
3639	1761	t	2019
3640	1210	t	1937
3641	2250	l	1858
3642	810	k	2016
3643	1478	r	1993
3644	730	l	1990
3645	2529	t	1915
3646	914	t	2010
3647	2671	t	1998
3648	1527	t	1873
3649	397	r	1909
3650	920	l	1840
3651	2754	r	1927
3652	171	t	1940
3653	2740	l	1998
3654	1192	l	1954
3655	680	l	1831
3656	413	l	1967
3657	2270	r	1894
3658	2259	t	1976
3659	3100	l	1990
3660	1127	t	1939
3661	932	r	1895
3662	1680	t	2013
3663	2872	t	1990
3664	462	r	2001
3665	2237	l	1888
3666	2884	t	1844
3667	2970	r	1985
3668	1442	t	1945
3669	1172	l	1908
3670	2619	r	1947
3671	2536	r	1973
3672	1803	k	2007
3673	2867	k	1995
3674	2962	t	1986
3675	3107	t	1986
3676	347	l	1894
3677	509	l	2007
3678	263	r	1995
3679	2060	l	1961
3680	2368	t	1858
3681	120	l	1918
3682	2922	l	2010
3683	2045	r	1893
3684	2369	l	1909
3685	56	l	1838
3686	50	t	1979
3687	3020	r	1993
3688	1421	r	2004
3689	293	r	1865
3690	2443	l	1833
3691	1656	r	1872
3692	591	k	1998
3693	2919	r	1993
3694	2190	t	1948
3695	92	l	1894
3696	1197	l	1976
3697	619	l	2007
3698	1666	l	1945
3699	1736	l	1949
3700	699	l	2004
3701	499	l	1979
3702	2773	k	2004
3703	931	l	2010
3704	955	l	1859
3705	1325	r	1921
3706	1650	r	1993
3707	21	l	2004
3708	410	t	1902
3709	689	l	1998
3710	2798	l	1949
3711	1341	l	2010
3712	2571	t	1865
3713	2089	l	1891
3714	549	r	1879
3715	1109	r	1985
3716	1537	l	1945
3717	2735	l	1927
3718	2359	r	1987
3719	2308	r	1867
3720	712	l	1915
3721	1593	l	1926
3722	1304	l	1995
3723	167	l	1861
3724	2843	l	1919
3725	1116	k	2010
3726	2999	l	1832
3727	700	t	1934
3728	2980	l	1965
3729	1631	l	1909
3730	2070	l	1860
3731	2155	l	1976
3732	1266	t	1988
3733	2852	l	1970
3734	1645	r	1887
3735	953	t	1998
3736	2892	l	1985
3737	1024	l	1948
3738	2877	t	1843
3739	2249	r	1979
3740	1311	k	2016
3741	1289	r	1926
3742	151	l	1962
3743	2996	t	1873
3744	1741	l	1985
3745	546	t	1998
3746	2809	t	1917
3747	1659	r	1965
3748	879	l	2007
3749	2660	k	2004
3750	490	r	1982
3751	3119	k	2019
3752	1283	t	1958
3753	2020	l	1831
3754	723	t	1911
3755	1072	t	1958
3756	1568	k	2019
3757	483	r	1998
3758	395	t	2007
3759	1517	l	2019
3760	618	l	1945
3761	2376	t	2007
3762	427	l	1843
3763	1693	r	2019
3764	1282	l	1905
3765	1155	l	1947
3766	86	t	1930
3767	195	t	1993
3768	409	l	1886
3769	2640	l	1973
3770	3226	r	1932
3771	578	l	1858
3772	691	t	1973
3773	2169	r	1926
3774	2457	r	2007
3775	2958	l	1897
3776	3158	r	1949
3777	1304	r	2001
3778	795	l	1832
3779	1326	r	1990
3780	791	r	1979
3781	1708	r	1964
3782	2871	t	1833
3783	108	l	1839
3784	1079	t	1979
3785	1715	t	2019
3786	2377	l	1898
3787	932	l	1883
3788	1314	r	1942
3789	2742	t	1846
3790	184	l	1934
3791	758	t	1904
3792	1241	l	1833
3793	769	t	1858
3794	312	k	2004
3795	2018	t	2013
3796	1752	t	1976
3797	1495	l	1910
3798	1580	t	1979
3799	2574	l	1990
3800	1490	l	1953
3801	2940	l	1861
3802	2911	l	1941
3803	2077	r	1955
3804	1692	r	2010
3805	1893	l	1932
3806	1275	t	1967
3807	2267	l	1970
3808	3182	r	2004
3809	592	l	1929
3810	1435	t	1896
3811	276	r	2007
3812	21	r	2010
3813	2994	l	2013
3814	3003	t	1940
3815	1836	l	1910
3816	442	l	2001
3817	17	k	1998
3818	1212	k	2001
3819	1536	l	1945
3820	1339	t	1911
3821	972	l	1881
3822	893	t	1983
3823	2952	l	1916
3824	1804	t	2007
3825	637	t	1886
3826	3086	l	2019
3827	881	t	1847
3828	1521	k	2001
3829	1303	r	2004
3830	2412	k	2001
3831	1745	k	2007
3832	1133	l	1948
3833	45	t	1988
3834	745	l	1898
3835	881	r	1830
3836	2786	l	1927
3837	1863	r	1982
3838	2853	r	2010
3839	3156	t	1970
3840	1094	k	1993
3841	2898	r	1990
3842	1604	l	1973
3843	1512	l	1859
3844	51	l	1872
3845	949	t	1831
3846	3205	t	1993
3847	1209	t	2001
3848	2985	r	1990
3849	2929	l	1955
3850	2465	l	1973
3851	2978	l	1949
3852	2342	t	1894
3853	1143	l	2004
3854	18	l	1949
3855	1847	r	1946
3856	1500	l	1868
3857	948	l	1947
3858	3001	t	1900
3859	3074	l	1923
3860	2054	r	1982
3861	568	r	1998
3862	1739	l	1864
3863	2846	l	1858
3864	2319	l	1858
3865	225	l	2001
3866	1073	l	1884
3867	817	t	1988
3868	408	l	2007
3869	879	r	2013
3870	1323	t	1940
3871	1525	l	1979
3872	1080	r	1920
3873	2040	t	1945
3874	1743	r	1991
3875	2991	l	2007
3876	2504	l	1985
3877	1601	r	1982
3878	1269	r	2016
3879	1702	l	1867
3880	1587	l	1939
3881	1508	r	1834
3882	2998	t	1900
3883	822	r	2001
3884	2704	t	2001
3885	1393	l	2016
3886	1111	l	1993
3887	3187	r	1979
3888	2302	r	1987
3889	2851	t	1858
3890	2394	l	1930
3891	1112	l	1919
3892	2769	l	1893
3893	2416	t	1903
3894	166	l	1872
3895	367	l	1832
3896	2747	t	1917
3897	460	r	1961
3898	270	t	1915
3899	1390	t	1939
3900	481	t	2004
3901	2630	r	1973
3902	952	l	2004
3903	1207	t	1967
3904	1962	t	1858
3905	2339	l	1945
3906	147	t	1976
3907	1911	l	1922
3908	153	l	1831
3909	3009	l	1967
3910	118	k	1995
3911	716	t	1988
3912	3061	k	2013
3913	523	t	1998
3914	2975	l	1893
3915	829	t	1860
3916	2154	r	2007
3917	2097	r	1938
3918	2905	l	1831
3919	836	t	1988
3920	550	l	1906
3921	198	t	2001
3922	2727	r	2019
3923	2474	k	1998
3924	311	k	1995
3925	927	l	1949
3926	141	r	1990
3927	1153	l	1865
3928	604	l	1860
3929	3014	r	1899
3930	1634	r	2001
3931	1356	r	1982
3932	455	l	1838
3933	3043	l	1835
3934	402	r	1945
3935	2657	k	2004
3936	2616	l	1883
3937	2122	l	1902
3938	423	t	1872
3939	629	t	1860
3940	2485	r	1832
3941	1447	t	2016
3942	3169	t	1926
3943	3150	l	1979
3944	2328	t	1973
3945	2787	t	1831
3946	1313	l	1985
3947	2324	l	2019
3948	1981	t	1833
3949	1705	l	1948
3950	1556	t	1880
3951	2297	l	1945
3952	435	r	1931
3953	2716	l	1982
3954	1929	r	1929
3955	2557	r	1890
3956	1191	t	1906
3957	787	l	1998
3958	416	t	1860
3959	2801	t	1986
3960	359	l	1836
3961	2814	r	1973
3962	2382	r	1840
3963	551	l	1884
3964	2422	l	1889
3965	2783	t	1979
3966	167	r	1876
3967	801	l	1834
3968	1456	l	1878
3969	1894	l	1858
3970	2241	l	1948
3971	971	t	2001
3972	1667	l	1832
3973	1047	r	2016
3974	1664	t	1993
3975	708	k	1990
3976	349	k	1995
3977	823	l	1949
3978	677	l	1953
3979	2210	t	1831
3980	2744	l	1932
3981	2803	l	1928
3982	1796	l	2010
3983	2727	l	2013
3984	369	l	1965
3985	487	l	1995
3986	2280	l	2001
3987	2026	r	1962
3988	815	t	2019
3989	2014	t	1904
3990	557	r	1976
3991	896	k	1993
3992	2868	t	1973
3993	1754	l	2004
3994	2878	l	1901
3995	1321	l	1834
3996	1858	l	2016
3997	2757	t	2019
3998	2884	l	1831
3999	1954	r	1923
4000	2178	l	1960
4001	2895	t	1899
4002	2314	l	1891
4003	3162	l	1901
4004	1487	l	1995
4005	2502	l	2004
4006	2522	t	1882
4007	1056	t	1988
4008	1378	l	1943
4009	2367	t	1979
4010	3217	k	1998
4011	2427	l	1905
4012	1171	l	1941
4013	2861	l	1990
4014	682	l	1898
4015	1809	l	1861
4016	580	t	1976
4017	1429	l	1921
